run, name, in_degree, out_degree, total_degree, distance, exp_utility, exp_gini, mutual_info, exp_independent, size_before, min, max
114, ARTCO2, 1, 2, 3, 3, 0.22671556207198285, 0.11999616812437308, 0.2879436178893091, 25.094072959977375, 24, 22, 26
115, MINVOL, 2, 0, 2, 2, 0.3426787310345196, 0.21096346947205458, 0.4967272762017405, 26.29237177159763, 24, 23, 29
115, PVSAT, 2, 1, 3, 3, 0.33092741832285605, 0.1842211177381361, 0.4095808422211179, 25.548539597914214, 24, 15, 27
115, SAO2, 2, 1, 3, 4, 0.3105098017983021, 0.16399902006618838, 0.35902433624996855, 23.1339437383377, 24, 14, 25
115, PRESS, 3, 0, 3, 1, 0.1195195526919878, 0.09596156531264455, 0.3139968105972937, 20.048656841634767, 24, 17, 29
115, DISCONNECT, 0, 1, 1, 1, 0.1715891375998656, 0.13420111153150194, 0.2764977468328895, 25.441830560209223, 24, 25, 28
115, MINVOLSET, 0, 1, 1, 2, 0.18499447103849953, 0.15859999473830838, 0.3868829841728192, 24.77171173605986, 24, 24, 32
115, VENTMACH, 1, 1, 2, 1, 0.2983912038439623, 0.28179205393809076, 0.65824650022955, 27.312686460326027, 24, 26, 33
115, VENTLUNG, 3, 3, 6, 1, 0.341138735957665, 0.19502415168854287, 0.47091400516186865, 25.697789275779137, 24, 21, 29
115, VENTALV, 2, 2, 4, 2, 0.3383788686314099, 0.20379014610545643, 0.4840341748083218, 27.137147780052388, 24, 25, 29
115, ARTCO2, 1, 2, 3, 3, 0.3163736243374885, 0.1737895423844099, 0.38739656555268054, 24.255438744282973, 24, 22, 26
116, MINVOL, 2, 0, 2, 2, 0.252871766860316, 0.14457525615488087, 0.38236083450519054, 29.322474722126525, 26, 25, 31
116, PVSAT, 2, 1, 3, 3, 0.2221317193344045, 0.12478692914097356, 0.29765812859029506, 28.246065238620407, 26, 19, 29
116, SAO2, 2, 1, 3, 4, 0.20645720370386222, 0.10838704022075418, 0.25585558835428146, 25.91890018981, 26, 20, 27
116, PRESS, 3, 0, 3, 1, 0.11556387470186821, 0.05121222307430634, 0.2077766845462944, 25.531556614909796, 26, 24, 31
116, DISCONNECT, 0, 1, 1, 1, 0.14480639979277976, 0.11701407728562985, 0.24377842078733625, 27.199999999517328, 26, 27, 29
116, MINVOLSET, 0, 1, 1, 2, 0.1430783996968027, 0.11798138852409484, 0.2957833502959577, 26.49999999861302, 26, 26, 34
116, VENTMACH, 1, 1, 2, 1, 0.23458636753422535, 0.2135041224125127, 0.513555816204934, 29.63599999834125, 26, 29, 35
116, VENTLUNG, 3, 3, 6, 1, 0.24076357827053763, 0.12448384044288507, 0.3450613213854856, 29.273216716648975, 26, 24, 31
116, VENTALV, 2, 2, 4, 2, 0.2464312478159128, 0.14194462770256233, 0.3741879118788507, 29.937872307248988, 26, 27, 31
116, ARTCO2, 1, 2, 3, 3, 0.22671556207198285, 0.11999616812437286, 0.2879436178893089, 27.094072959977375, 26, 24, 28
